Text,Type
@RepDarrenSoto,SOCIALMEDIAHANDLE
@RepJackyRosen,SOCIALMEDIAHANDLE
@RepAlLawsonJr,SOCIALMEDIAHANDLE
@RepEspaillat,SOCIALMEDIAHANDLE
@RepDarrenSoto,SOCIALMEDIAHANDLE
@RepJackyRosen,SOCIALMEDIAHANDLE
@RepAlLawsonJr,SOCIALMEDIAHANDLE
@RepEspaillat,SOCIALMEDIAHANDLE
@RepBRochester,SOCIALMEDIAHANDLE
@RepBarragan,SOCIALMEDIAHANDLE
@RepTomSuozzi,SOCIALMEDIAHANDLE
@RepRoKhanna,SOCIALMEDIAHANDLE
@RepKihuen,SOCIALMEDIAHANDLE
@RepMcEachin,SOCIALMEDIAHANDLE
@RepCarbajal,SOCIALMEDIAHANDLE
@RepCharlieCrist,SOCIALMEDIAHANDLE
@RepLouCorrea,SOCIALMEDIAHANDLE
@RepJayapal,SOCIALMEDIAHANDLE
@RepJoshG,SOCIALMEDIAHANDLE
@CongressmanRaja,SOCIALMEDIAHANDLE
@RepOHalleran,SOCIALMEDIAHANDLE
@RepRaskin,SOCIALMEDIAHANDLE
@RepValDemings,SOCIALMEDIAHANDLE
@RepJimmyPanetta,SOCIALMEDIAHANDLE
@RepDLesko,SOCIALMEDIAHANDLE
@RepRalphNorman,SOCIALMEDIAHANDLE
@RepTomGarrett,SOCIALMEDIAHANDLE
@RepArrington,SOCIALMEDIAHANDLE
@RepDLesko,SOCIALMEDIAHANDLE
@RepRalphNorman,SOCIALMEDIAHANDLE
@RepTomGarrett,SOCIALMEDIAHANDLE
@RepArrington,SOCIALMEDIAHANDLE
@RepJimBanks,SOCIALMEDIAHANDLE
@RepJasonLewis,SOCIALMEDIAHANDLE
@RepGallagher,SOCIALMEDIAHANDLE
@DrNealDunnFL2,SOCIALMEDIAHANDLE
@RepJohnFaso,SOCIALMEDIAHANDLE
@RepJackBergman,SOCIALMEDIAHANDLE
@RepBrianMast,SOCIALMEDIAHANDLE
@RepTrey,SOCIALMEDIAHANDLE
@RepPaulMitchell,SOCIALMEDIAHANDLE
@RepDrewFerguson,SOCIALMEDIAHANDLE
@housebudgetGOP,SOCIALMEDIAHANDLE
@amashoffice,SOCIALMEDIAHANDLE
@WarrenDavidson,SOCIALMEDIAHANDLE
@RepLaHood,SOCIALMEDIAHANDLE
@HouseSmallBiz,SOCIALMEDIAHANDLE
@RepMiaLove,SOCIALMEDIAHANDLE
@cairdin,SOCIALMEDIAHANDLE
@jnardino,SOCIALMEDIAHANDLE
@yvonnalynn,SOCIALMEDIAHANDLE
@jnardino,SOCIALMEDIAHANDLE
@jnardino,SOCIALMEDIAHANDLE
@jnardino,SOCIALMEDIAHANDLE
@cjmcginnis,SOCIALMEDIAHANDLE
@dhepburn,SOCIALMEDIAHANDLE
